"","Participant","Contact_1","Contact_2","Contact_3","Contact_4","Contact_5","Contact_6","Sex","Travel","Travel","Travel","Travel","Clubs","Clubs","Clubs","Flu","Flu","Siblings","Conversation"
"1","1","8","91","32","52","92","65","1","2","","","","1","2","","1","","3","2"
"2","2","68","5","21","85","19","30","2","1","","","","1","","","1","","2","3"
"3","3","16","87","86","80","37","23","2","1","","","","1","2","","2","","2","4"
"4","4","95","57","100","103","13","45","1","2","","","","2","","","2","","3","3"
"5","5","94","69","28","19","62","23","2","2","","","","2","","","1","","2","2"
"6","6","96","31","74","83","55","71","2","1","2","","","3","","","2","","3","3"
"7","7","71","96","83","31","36","14","2","2","","","","1","2","","2","","3","2"
"8","8","1","91","32","60","92","99","1","1","","","","3","","","2","","4","3"
"9","9","72","50","42","79","63","49","2","2","","","","1","","","1","","1","3"
"10","10","104","53","100","24","58","103","1","1","","","","3","","","1","","3","5"
"11","11","21","28","76","61","68","51","2","1","","","","3","","","1","","3","1"
"12","12","43","101","47","55","71","88","2","2","","","","1","2","","2","","3","1"
"13","13","25","89","18","98","66","23","1","1","","","","1","","","1","","5","1"
"14","14","22","59","82","73","7","36","2","1","","","","3","","","2","","2","2"
"15","15","17","20","48","38","53","84","1","1","2","","","1","2","","2","","3","5"
"16","16","87","3","37","81","86","23","2","2","","","","1","2","","2","","3","2"
"17","17","20","84","39","53","48","15","1","2","","","","1","2","","1","","1","5"
"18","18","98","66","25","33","41","89","1","1","","","","2","","","2","","3","2"
"19","19","77","85","30","64","76","51","2","1","","","","1","","","1","","1","3"
"20","20","48","39","15","84","17","56","1","1","2","","","1","2","","1","","4","3"
"21","21","11","28","19","68","76","46","2","2","","","","1","","","","","1","4"
"22","22","82","93","59","26","35","14","2","1","","","","3","","","2","","2","2"
